"NODE_ID";"LON";"LAT"
569083932;9,7262344;52,3815332
569512312;9,7244684;52,373209
569512315;9,7248344;52,3739545
569512316;9,7248996;52,3738975
569512319;9,725136;52,3740027
569512321;9,7248366;52,3737696
569512322;9,7249564;52,3736192
569512324;9,7251915;52,3740998
569512326;9,7254858;52,3737397
569512328;9,7249673;52,3738084
569512329;9,7250866;52,3736587
569512331;9,7253839;52,3737101
569947037;9,728102;52,3800261
569947038;9,7280071;52,3799674
569947039;9,7279123;52,3799087
569947040;9,7279942;52,3800913
569947041;9,7278994;52,3800326
569947042;9,7278046;52,3799739
569947043;9,7282916;52,3801434
569947044;9,7281968;52,3800847
569947045;9,728089;52,3801499
569947046;9,7281839;52,3802086
569947771;9,7268533;52,3807373
569947773;9,7268898;52,3807146
569947775;9,7269495;52,3807141
569947776;9,7269881;52,3807379
569947777;9,7268635;52,3804838
569947778;9,726675;52,3803619
569947780;9,7262414;52,3806112
569947782;9,7268529;52,3807727
569947787;9,7269877;52,3807732
569947789;9,7269512;52,3807959
569947790;9,7268915;52,3807964
570855747;9,7371348;52,3676283
574356208;9,7709571;52,3951112
577404166;9,7354107;52,3758326
577406264;9,7386882;52,3761029
577511823;9,7243269;52,3782886
577521157;9,7437132;52,3694233
577521207;9,7437804;52,3695679
577522365;9,7436687;52,3692666
577522368;9,7437165;52,3693521
577522369;9,7436438;52,3693661
577522370;9,7435971;52,3692812
581891543;9,7399262;52,369165
581891544;9,7399501;52,369176
581891546;9,7399605;52,3691487
581891548;9,7399838;52,3691599
583212734;9,7426308;52,36894
583212815;9,7427578;52,3696764
583215817;9,7424718;52,3689494
583228657;9,7410625;52,3685037
585127292;9,7244463;52,3735384
585127293;9,7246593;52,3732093
585127294;9,7244937;52,3734266
585127295;9,724452;52,3734876
585127296;9,7247653;52,3731559
585127297;9,7243296;52,373821
585127298;9,7245045;52,3735004
585127299;9,724498;52,3735521
585127301;9,7245438;52,3735168
585127304;9,7274374;52,3746208
585127305;9,7265137;52,374474
585127306;9,7256002;52,3742998
585127307;9,7251977;52,3741974
585127308;9,7257725;52,3743437
585127309;9,7275118;52,374567
585127310;9,7265688;52,3744165
585127312;9,7256553;52,3742423
585127313;9,7258276;52,3742862
585127314;9,7252369;52,3741206
585127315;9,7254373;52,3738961
585127316;9,7253809;52,3738776
585127317;9,7255075;52,3737349
585127318;9,7254877;52,3737213
585127320;9,7255268;52,373642
585127321;9,7255503;52,3736499
585127322;9,7255173;52,3737314
585127323;9,7256471;52,3734947
585127324;9,7247526;52,373235
586649903;9,7413003;52,3764
586649908;9,7408819;52,376603
586682060;9,7258523;52,3675409
588171659;9,7420041;52,3710717
588171660;9,7420467;52,3711041
588171661;9,742112;52,3710299
588171662;9,742109;52,3710114
588171663;9,7420558;52,3710141
588171664;9,7426226;52,3704315
588171665;9,7425026;52,3704454
588171666;9,7432343;52,3698907
588171667;9,743293;52,3701014
588171668;9,7432893;52,3700882
588171669;9,7430499;52,3701135
588171670;9,7430955;52,3704224
588171671;9,7436152;52,3700495
588171672;9,7435229;52,3698675
588171673;9,7435681;52,3703955
588171674;9,7435559;52,3702953
588171675;9,7435331;52,3702953
588171676;9,7435088;52,3700782
588171677;9,7426636;52,3706041
588171678;9,7425117;52,3706143
588171679;9,742718;52,3708403
588171680;9,7427642;52,3708277
588171681;9,7426044;52,3710726
588171682;9,7425755;52,3708388
588171683;9,7425026;52,3708407
588171684;9,7425299;52,3710067
588171685;9,7428662;52,3707749
588171686;9,7428571;52,3706609
588171687;9,7428595;52,3706903
588171688;9,7428637;52,3707428
588171689;9,7431788;52,3710081
588171690;9,7431765;52,3709805
588171691;9,742825;52,3708366
588171692;9,7428663;52,3708596
588171693;9,7429273;52,3711398
588172265;9,7428126;52,3702608
588172266;9,742729;52,370271
588172267;9,7427016;52,3703619
588172268;9,7427776;52,3705614
588172269;9,7428612;52,3705577
588173232;9,741305;52,3701255
588173233;9,7413335;52,3703632
588173234;9,7414095;52,3703487
588173235;9,7413834;52,3701588
588173236;9,7419651;52,3700878
588173237;9,7418867;52,3701284
588173238;9,7419128;52,3701965
588173239;9,7419769;52,3701965
588173240;9,7414529;52,370117
588173241;9,7415068;52,370114
588173242;9,7414494;52,3701548
588173243;9,7415134;52,370151
588175137;9,7396446;52,3696822
588175138;9,7411839;52,3698956
588176844;9,7389097;52,3744014
588178151;9,7378988;52,3732704
588178154;9,7379908;52,373257
588178156;9,737971;52,3732063
588178158;9,737879;52,3732197
588178160;9,7378945;52,3746008
588178163;9,7392145;52,3751664
